x,y,v
510562,2088137,231
511362,2088137,254
512162,2088137,234
512987,2088137,212
513787,2088137,284
514587,2088137,303
515387,2088137,294
516187,2088137,291
517012,2088137,308
517812,2088137,338
518612,2088137,358
519412,2088137,351
520212,2088137,364
521037,2088137,356
521837,2088137,362
522637,2088137,355
523437,2088137,350
524262,2088137,352
525062,2088137,368
525862,2088137,406
526662,2088137,417
527462,2088137,416
528287,2088137,431
529087,2088137,412
529887,2088137,401
530687,2088137,385
504112,2087312,279
504912,2087312,276
505737,2087312,270
506537,2087312,249
507337,2087312,266
508137,2087312,240
508937,2087312,282
509762,2087312,279
510562,2087312,232
511362,2087312,209
512162,2087312,215
512987,2087312,275
513787,2087312,303
514587,2087312,304
515387,2087312,333
516187,2087312,329
517012,2087312,328
517812,2087312,361
518612,2087312,381
519412,2087312,377
520212,2087312,379
521037,2087312,367
521837,2087312,379
522637,2087312,398
523437,2087312,381
524262,2087312,377
525062,2087312,400
525862,2087312,395
526662,2087312,369
527462,2087312,414
528287,2087312,392
529087,2087312,366
529887,2087312,398
530687,2087312,395
504112,2086487,269
504912,2086487,297
505737,2086487,254
506537,2086487,244
507337,2086487,276
508137,2086487,270
508937,2086487,291
509762,2086487,300
510562,2086487,236
511362,2086487,254
512162,2086487,284
512987,2086487,214
513787,2086487,283
514587,2086487,271
515387,2086487,302
516187,2086487,328
517012,2086487,328
517812,2086487,353
518612,2086487,371
519412,2086487,334
520212,2086487,363
521037,2086487,357
521837,2086487,362
522637,2086487,376
523437,2086487,362
524262,2086487,366
525062,2086487,351
525862,2086487,363
526662,2086487,323
527462,2086487,363
528287,2086487,376
529087,2086487,351
529887,2086487,385
530687,2086487,369
504112,2085662,290
504912,2085662,289
505737,2085662,245
506537,2085662,247
507337,2085662,267
508137,2085662,289
508937,2085662,309
509762,2085662,303
510562,2085662,264
511362,2085662,229
512162,2085662,308
512987,2085662,330
513787,2085662,228
514587,2085662,285
515387,2085662,301
516187,2085662,314
517012,2085662,311
517812,2085662,310
518612,2085662,335
519412,2085662,290
520212,2085662,318
521037,2085662,349
521837,2085662,379
522637,2085662,359
523437,2085662,361
524262,2085662,366
525062,2085662,342
525862,2085662,333
526662,2085662,329
527462,2085662,340
528287,2085662,366
529087,2085662,349
529887,2085662,371
530687,2085662,334
504112,2084837,259
504912,2084837,264
505737,2084837,276
506537,2084837,287
507337,2084837,289
508137,2084837,299
508937,2084837,341
509762,2084837,293
510562,2084837,280
511362,2084837,281
512162,2084837,331
512987,2084837,354
513787,2084837,326
514587,2084837,214
515387,2084837,240
516187,2084837,262
517012,2084837,245
517812,2084837,281
518612,2084837,296
519412,2084837,308
520212,2084837,318
521037,2084837,356
521837,2084837,370
522637,2084837,331
523437,2084837,339
524262,2084837,346
525062,2084837,351
525862,2084837,312
526662,2084837,329
527462,2084837,352
528287,2084837,349
529087,2084837,353
529887,2084837,342
530687,2084837,320
504112,2084012,252
504912,2084012,293
505737,2084012,267
506537,2084012,298
507337,2084012,301
508137,2084012,329
508937,2084012,342
509762,2084012,300
510562,2084012,295
511362,2084012,297
512162,2084012,346
512987,2084012,357
513787,2084012,265
514587,2084012,299
515387,2084012,252
516187,2084012,268
517012,2084012,309
517812,2084012,223
518612,2084012,235
519412,2084012,277
520212,2084012,299
